Mya,Diversity,ExtinctionIntensity,OriginationIntensity
0,4166,1.25,5.76
1,4166,1.25,5.76
2,4063,3.36,5.97
3,4063,3.36,5.97
4,3942,3.08,6.89
5,3942,3.08,6.89
6,3741,1.9,3.34
7,3741,1.9,3.34
8,3703,2.35,4.05
9,3703,2.35,4.05
10,3703,2.35,4.05
11,3703,2.35,4.05
12,3726,4.64,8.02
13,3726,4.64,8.02
14,3726,4.64,8.02
15,3726,4.64,8.02
16,3498,2.03,8.95
17,3498,2.03,8.95
18,3498,2.03,8.95
19,3498,2.03,8.95
20,3498,2.03,8.95
21,3240,1.7,7.22
22,3240,1.7,7.22
23,3240,1.7,7.22
24,3055,1.6,10.77
25,3055,1.6,10.77
26,3055,1.6,10.77
27,3055,1.6,10.77
28,3055,1.6,10.77
29,2869,4.98,9.38
30,2869,4.98,9.38
31,2869,4.98,9.38
32,2869,4.98,9.38
33,2869,4.98,9.38
34,2967,12.37,10.82
35,2967,12.37,10.82
36,2967,12.37,10.82
37,2967,12.37,10.82
38,2748,3.69,9.59
39,2748,3.69,9.59
40,2748,3.69,9.59
41,2572,3.4,15.03
42,2572,3.4,15.03
43,2572,3.4,15.03
44,2572,3.4,15.03
45,2572,3.4,15.03
46,2572,3.4,15.03
47,2572,3.4,15.03
48,2572,3.4,15.03
49,2262,3.4,25.02
50,2262,3.4,25.02
51,2262,3.4,25.02
52,2262,3.4,25.02
53,2262,3.4,25.02
54,2262,3.4,25.02
55,2262,3.4,25.02
56,1741,2.58,10.31
57,1741,2.58,10.31
58,1628,4.06,15.02
59,1628,4.06,15.02
60,1628,4.06,15.02
61,1446,4.36,9.09
62,1446,4.36,9.09
63,1365,3.66,9.71
64,1365,3.66,9.71
65,1365,3.66,9.71
66,1783,30.9,5.33
67,1783,30.9,5.33
68,1783,30.9,5.33
69,2013,16.15,6.81
70,2013,16.15,6.81
71,2004,6.36,11.55
72,2004,6.36,11.55
73,2004,6.36,11.55
74,2004,6.36,11.55
75,2004,6.36,11.55
76,2004,6.36,11.55
77,2004,6.36,11.55
78,1888,6.12,11.79
79,1888,6.12,11.79
80,1888,6.12,11.79
81,1888,6.12,11.79
82,1888,6.12,11.79
83,1888,6.12,11.79
84,1713,2.8,6.19
85,1651,2.67,5.33
86,1581,1.14,4.46
87,1581,1.14,4.46
88,1532,1.37,4.54
89,1532,1.37,4.54
90,1510,3.15,6.92
91,1510,3.15,6.92
92,1462,3.87,6.67
93,1462,3.87,6.67
94,1478,7.73,7.96
95,1478,7.73,7.96
96,1419,4.11,7.66
97,1419,4.11,7.66
98,1394,5.98,11.10
99,1394,5.98,11.10
100,1327,6.63,10.95
101,1327,6.63,10.95
102,1327,6.63,10.95
103,1327,6.63,10.95
104,1237,4.45,6.82
105,1237,4.45,6.82
106,1237,4.45,6.82
107,1237,4.45,6.82
108,1199,3.92,8.95
109,1199,3.92,8.95
110,1199,3.92,8.95
111,1199,3.92,8.95
112,1167,6.39,9.52
113,1167,6.39,9.52
114,1167,6.39,9.52
115,1167,6.39,9.52
116,1167,6.39,9.52
117,1167,6.39,9.52
118,1167,6.39,9.52
119,1143,7.66,10.06
120,1143,7.66,10.06
121,1143,7.66,10.06
122,1143,7.66,10.06
123,1143,7.66,10.06
124,1143,7.66,10.06
125,1068,3.7,6.60
126,1068,3.7,6.60
127,1068,3.7,6.60
128,1037,3.81,6.13
129,1037,3.81,6.13
130,997,2.41,5.02
131,997,2.41,5.02
132,997,2.41,5.02
133,997,2.41,5.02
134,982,3.56,5.19
135,982,3.56,5.19
136,982,3.56,5.19
137,967,3.67,7.55
138,967,3.67,7.55
139,934,4.34,6.85
140,934,4.34,6.85
141,900,3.33,4.11
142,900,3.33,4.11
143,886,2.6,3.05
144,886,2.6,3.05
145,886,2.6,3.05
146,989,13.14,7.03
147,989,13.14,7.03
148,989,13.14,7.03
149,1004,8.37,4.93
150,1004,8.37,4.93
151,1017,6.15,5.61
152,1017,6.15,5.61
153,1017,6.15,5.61
154,1024,6.3,5.47
155,1024,6.3,5.47
156,1026,5.68,8.12
157,1026,5.68,8.12
158,970,2.82,4.16
159,970,2.82,4.16
160,974,4.55,8.76
161,974,4.55,8.76
162,942,5.59,5.63
163,933,4.79,5.89
164,931,5.66,5.69
165,922,4.77,8.21
166,871,2.87,5.24
167,853,3.17,6.88
168,844,5.92,13.57
169,844,5.92,13.57
170,783,6.77,11.82
171,783,6.77,11.82
172,715,3.5,14.27
173,715,3.5,14.27
174,715,3.5,14.27
175,715,3.5,14.27
176,649,5.55,7.16
177,649,5.55,7.16
178,649,5.55,7.16
179,649,5.55,7.16
180,661,8.78,10.22
181,661,8.78,10.22
182,661,8.78,10.22
183,661,10.29,10.97
184,661,10.29,10.97
185,661,10.29,10.97
186,661,10.29,10.97
187,628,6.22,11.39
188,628,6.22,11.39
189,628,6.22,11.39
190,575,3.22,14.27
191,575,3.22,14.27
192,575,3.22,14.27
193,575,3.22,14.27
194,507,2.86,12.23
195,507,2.86,12.23
196,507,2.86,12.23
197,452,1.44,10.63
198,452,1.44,10.63
199,409,1.34,10.76
200,513,28.85,6.82
201,513,28.85,6.82
202,513,28.85,6.82
203,513,28.85,6.82
204,573,16.63,6.45
205,573,16.63,6.45
206,573,16.63,6.45
207,573,16.63,6.45
208,596,9.96,8.23
209,596,9.96,8.23
210,596,9.96,8.23
211,596,9.96,8.23
212,596,9.96,8.23
213,615,11.11,9.76
214,615,11.11,9.76
215,615,11.11,9.76
216,615,11.11,9.76
217,629,11.69,13.13
218,629,11.69,13.13
219,629,11.69,13.13
220,629,11.69,13.13
221,629,11.69,13.13
222,629,11.69,13.13
223,622,12.15,13.11
224,622,12.15,13.11
225,622,12.15,13.11
226,622,12.15,13.11
227,622,12.15,13.11
228,575,6.01,20.28
229,575,6.01,20.28
230,575,6.01,20.28
231,575,6.01,20.28
232,575,6.01,20.28
233,489,6.24,15.46
234,489,6.24,15.46
235,489,6.24,15.46
236,489,6.24,15.46
237,434,4.91,14.74
238,434,4.91,14.74
239,434,4.91,14.74
240,385,3.73,17.68
241,385,3.73,17.68
242,385,3.73,17.68
243,330,4.04,19.70
244,330,4.04,19.70
245,282,6.03,17.91
246,282,6.03,17.91
247,282,6.03,17.91
248,237,2.11,15.86
249,237,2.11,15.86
250,209,4.56,4.80
251,424,51.36,2.60
252,424,51.36,2.60
253,424,51.36,2.60
254,576,28.39,6.08
255,576,28.39,6.08
256,576,28.39,6.08
257,576,28.39,6.08
258,576,28.39,6.08
259,576,28.39,6.08
260,576,28.39,6.08
261,837,35.33,6.10
262,837,35.33,6.10
263,837,35.33,6.10
264,837,35.33,6.10
265,837,35.33,6.10
266,932,15.72,7.40
267,932,15.72,7.40
268,932,15.72,7.40
269,932,15.72,7.40
270,932,15.72,7.40
271,965,10.6,9.81
272,965,10.6,9.81
273,965,10.6,9.81
274,965,10.6,9.81
275,965,10.6,9.81
276,929,6.28,9.76
277,929,6.28,9.76
278,929,6.28,9.76
279,929,6.28,9.76
280,900,6.82,5.63
281,900,6.82,5.63
282,900,6.82,5.63
283,900,6.82,5.63
284,900,6.82,5.63
285,909,6.6,10.18
286,909,6.6,10.18
287,909,6.6,10.18
288,909,6.6,10.18
289,909,6.6,10.18
290,858,4.78,6.94
291,858,4.78,6.94
292,858,4.78,6.94
293,858,4.78,6.94
294,858,4.78,6.94
295,816,2.21,6.37
296,816,2.21,6.37
297,783,2.43,8.56
298,783,2.43,8.56
299,834,14.15,6.65
300,834,14.15,6.65
301,834,14.15,6.65
302,834,14.15,6.65
303,834,14.15,6.65
304,847,8.03,7.86
305,847,8.03,7.86
306,847,8.03,7.86
307,879,11.21,10.47
308,879,11.21,10.47
309,879,11.21,10.47
310,847,7.14,8.97
311,847,7.14,8.97
312,804,4.04,9.58
313,804,4.04,9.58
314,804,4.04,9.58
315,774,6.14,8.66
316,774,6.14,8.66
317,774,6.14,8.66
318,774,6.14,8.66
319,768,7.88,3.65
320,768,7.88,3.65
321,768,7.88,3.65
322,768,7.88,3.65
323,948,21.99,7.59
324,948,21.99,7.59
325,948,21.99,7.59
326,948,21.99,7.59
327,1044,16.05,19.65
328,1044,16.05,19.65
329,1044,16.05,19.65
330,1044,16.05,19.65
331,1044,16.05,19.65
332,1044,16.05,19.65
333,1044,16.05,19.65
334,1044,16.05,19.65
335,1044,16.05,19.65
336,1004,16.48,16.04
337,1004,16.48,16.04
338,1004,16.48,16.04
339,1004,16.48,16.04
340,1004,16.48,16.04
341,1004,16.48,16.04
342,1004,16.48,16.04
343,1004,16.48,16.04
344,1004,16.48,16.04
345,1004,16.48,16.04
346,933,9.6,22.04
347,933,9.6,22.04
348,933,9.6,22.04
349,933,9.6,22.04
350,933,9.6,22.04
351,933,9.6,22.04
352,933,9.6,22.04
353,802,9.3,27.01
354,802,9.3,27.01
355,802,9.3,27.01
356,802,9.3,27.01
357,802,9.3,27.01
358,802,9.3,27.01
359,802,9.3,27.01
360,716,18.33,13.82
361,716,18.33,13.82
362,716,18.33,13.82
363,716,18.33,13.82
364,716,18.33,13.82
365,676,8.63,10.95
366,676,8.63,10.95
367,676,8.63,10.95
368,676,8.63,10.95
369,676,8.63,10.95
370,653,7.86,9.49
371,653,7.86,9.49
372,653,7.86,9.49
373,653,7.86,9.49
374,653,7.86,9.49
375,765,22.78,4.57
376,765,22.78,4.57
377,765,22.78,4.57
378,765,22.78,4.57
379,831,12.08,5.66
380,831,12.08,5.66
381,831,12.08,5.66
382,879,10.85,5.69
383,879,10.85,5.69
384,879,10.85,5.69
385,879,10.85,5.69
386,1030,19.51,10.49
387,1030,19.51,10.49
388,1030,19.51,10.49
389,1109,16.86,8.03
390,1109,16.86,8.03
391,1109,16.86,8.03
392,1194,14.57,12.27
393,1194,14.57,12.27
394,1194,14.57,12.27
395,1220,14.1,10.29
396,1220,14.1,10.29
397,1220,14.1,10.29
398,1248,12.34,15.18
399,1248,12.34,15.18
400,1248,12.34,15.18
401,1248,12.34,15.18
402,1248,12.34,15.18
403,1208,12.34,14.87
404,1208,12.34,14.87
405,1208,12.34,14.87
406,1208,12.34,14.87
407,1076,4.42,12.88
408,1076,4.42,12.88
409,1076,4.42,12.88
410,1007,6.91,12.47
411,1007,6.91,12.47
412,962,8.42,13.36
413,962,8.42,13.36
414,919,9.25,13.77
415,919,9.25,13.77
416,950,16.63,9.05
417,950,16.63,9.05
418,950,16.63,9.05
419,1026,15.79,10.33
420,1026,15.79,10.33
421,1026,15.79,10.33
422,1093,15.83,9.33
423,1108,10.52,14.85
424,1108,10.52,14.85
425,1108,10.52,14.85
426,1108,10.52,14.85
427,1048,9.98,18.28
428,1048,9.98,18.28
429,926,7.56,19.29
430,926,7.56,19.29
431,926,7.56,19.29
432,926,7.56,19.29
433,926,7.56,19.29
434,926,7.56,19.29
435,926,7.56,19.29
436,801,6.74,16.56
437,801,6.74,16.56
438,801,6.74,16.56
439,727,7.98,13.72
440,727,7.98,13.72
441,727,7.98,13.72
442,727,7.98,13.72
443,727,7.98,13.72
444,848,26.03,3.03
445,848,26.03,3.03
446,1171,29.78,7.40
447,1171,29.78,7.40
448,1198,9.49,7.15
449,1243,10.54,10.51
450,1243,10.54,10.51
451,1243,10.54,10.51
452,1243,10.54,10.51
453,1278,12.99,14.84
454,1278,12.99,14.84
455,1278,12.99,14.84
456,1278,12.99,14.84
457,1245,12.53,21.59
458,1245,12.53,21.59
459,1245,12.53,21.59
460,1245,12.53,21.59
461,1051,7.14,17.65
462,1051,7.14,17.65
463,930,6.89,19.53
464,816,8.28,20.29
465,816,8.28,20.29
466,816,8.28,20.29
467,816,8.28,20.29
468,764,14.87,20.24
469,764,14.87,20.24
470,764,14.87,20.24
471,764,14.87,20.24
472,678,10.18,42.92
473,678,10.18,42.92
474,678,10.18,42.92
475,678,10.18,42.92
476,439,11.85,42.37
477,439,11.85,42.37
478,439,11.85,42.37
479,318,20.44,34.43
480,318,20.44,34.43
481,318,20.44,34.43
482,318,20.44,34.43
483,318,20.44,34.43
484,265,21.17,39.89
485,265,21.17,39.89
486,265,21.17,39.89
487,265,21.17,39.89
488,265,21.17,39.89
489,220,27.56,16.17
490,220,27.56,16.17
491,206,10.46,24.09
492,206,10.46,24.09
493,191,18.32,26.18
494,191,18.32,26.18
495,177,20.34,22.03
496,177,20.34,22.03
497,171,19.06,35.19
498,171,19.06,35.19
499,183,39.62,14.75
500,183,39.62,14.75
501,216,27.67,29.68
502,216,27.67,29.68
503,202,25.04,11.86
504,220,18.94,14.55
505,246,23.58,18.50
506,246,23.58,18.50
507,235,14.5,15.14
508,235,14.5,15.14
509,232,14.22,13.36
510,232,14.22,13.36
511,232,14.22,13.36
512,232,14.22,13.36
513,239,15.72,13.84
514,239,15.72,13.84
515,239,15.72,13.84
516,236,12.92,10.17
517,236,12.92,10.17
518,236,12.92,10.17
519,361,41.19,12.62
520,361,41.19,12.62
521,361,41.19,12.62
522,437,27.84,29.67
523,437,27.84,29.67
524,344,10.63,48.33
525,344,10.63,48.33
526,344,10.63,48.33
527,195,8.97,40.00
528,195,8.97,40.00
529,195,8.97,40.00
530,140,16.43,35.00
531,140,16.43,35.00
532,99,8.08,54.55
533,99,8.08,54.55
534,47,4.26,70.21
535,47,4.26,70.21
536,47,4.26,70.21
537,47,4.26,70.21
538,16,12.5,75.00
539,16,12.5,75.00
540,16,12.5,75.00
541,16,12.5,75.00